4 17 21 34 38 51
4 17 21 34 38 72
4 17 21 34 51 68
4 17 21 34 68 72
4 17 21 38 51 55
4 17 21 38 55 72
4 17 21 51 55 68
4 17 21 55 68 72
4 17 34 38 51 72
4 17 34 51 68 72
4 17 38 51 55 72
4 17 51 55 68 72
4 18 34 41 48 71
4 18 34 41 71 78
4 18 41 48 55 71
4 18 41 55 71 78
4 19 31 43 46 70
4 19 31 43 70 73
4 19 43 46 58 70
4 19 43 58 70 73
4 20 28 36 53 69
4 20 28 36 69 77
4 20 36 53 61 69
4 20 36 61 69 77
4 21 34 38 51 68
4 21 34 38 68 72
4 21 38 51 55 68
4 21 38 55 68 72
4 22 31 40 49 67
4 22 31 40 67 76
4 22 40 49 58 67
4 22 40 58 67 76
4 23 28 42 47 66
4 23 28 42 66 80
4 23 42 47 61 66
4 23 42 61 66 80
4 24 34 44 45 65
4 24 34 44 65 75
4 24 44 45 55 65
4 24 44 55 65 75
4 25 31 37 52 64
4 25 31 37 64 79
4 25 37 52 58 64
4 25 37 58 64 79
4 26 28 39 50 63
4 26 28 39 63 74
4 26 39 50 61 63
4 26 39 61 63 74
4 28 36 53 69 77
4 28 39 50 63 74
4 28 42 47 66 80
4 31 37 52 64 79
4 31 40 49 67 76
4 31 43 46 70 73
4 34 38 51 68 72
4 34 41 48 71 78
4 34 44 45 65 75
4 36 53 61 69 77
4 37 52 58 64 79
4 38 51 55 68 72
4 39 50 61 63 74
4 40 49 58 67 76
4 41 48 55 71 78
4 42 47 61 66 80
4 43 46 58 70 73
4 44 45 55 65 75
5 8 27 30 55 58
5 8 27 30 55 61
5 8 27 30 58 61
5 8 27 33 55 58
5 8 27 33 55 61
5 8 27 33 58 61
5 8 28 31 54 57
5 8 28 31 54 60
5 8 28 31 57 60
5 8 28 34 54 57
5 8 28 34 54 60
5 8 28 34 57 60
5 8 30 33 55 58
5 8 30 33 55 61
5 8 30 33 58 61
5 8 31 34 54 57
5 8 31 34 54 60
5 8 31 34 57 60
5 9 22 35 39 52
5 9 22 35 39 73
5 9 22 35 52 69
5 9 22 35 69 73
5 9 22 39 52 56
5 9 22 39 56 73
5 9 22 52 56 69
5 9 22 56 69 73
5 9 35 39 52 73
5 9 35 52 69 73
5 9 39 52 56 73
5 9 52 56 69 73
5 10 24 29 43 48
5 10 24 29 43 72
5 10 24 29 48 67
5 10 24 29 67 72
5 10 24 43 48 62
5 10 24 43 62 72
5 10 24 48 62 67
5 10 24 62 67 72
5 10 29 43 48 72
5 10 29 48 67 72
5 10 43 48 62 72
5 10 48 62 67 72
5 11 26 32 38 53
5 11 26 32 38 80
5 11 26 32 53 65
5 11 26 32 65 80
5 11 26 38 53 59
5 11 26 38 59 80
5 11 26 53 59 65
5 11 26 59 65 80
5 11 32 38 53 80
5 11 32 53 65 80
5 11 38 53 59 80
5 11 53 59 65 80
5 12 19 35 42 49
5 12 19 35 42 79
5 12 19 35 49 63
5 12 19 35 63 79
5 12 19 42 49 56
5 12 19 42 56 79
5 12 19 49 56 63
5 12 19 56 63 79
5 12 35 42 49 79
5 12 35 49 63 79
5 12 42 49 56 79
5 12 49 56 63 79
5 13 21 29 37 45
5 13 21 29 37 78
5 13 21 29 45 70
5 13 21 29 70 78
5 13 21 37 45 62
5 13 21 37 62 78
5 13 21 45 62 70
5 13 21 62 70 78
5 13 29 37 45 78
5 13 29 45 70 78
5 13 37 45 62 78
5 13 45 62 70 78
5 14 23 32 41 50
5 14 23 32 41 77
5 14 23 32 50 68
5 14 23 32 68 77
5 14 23 41 50 59
5 14 23 41 59 77
5 14 23 50 59 68
5 14 23 59 68 77
5 14 32 41 50 77
5 14 32 50 68 77
5 14 41 50 59 77
5 14 50 59 68 77
5 15 25 35 36 46
5 15 25 35 36 76
5 15 25 35 46 66
5 15 25 35 66 76
5 15 25 36 46 56
5 15 25 36 56 76
5 15 25 46 56 66
5 15 25 56 66 76
5 15 35 36 46 76
5 15 35 46 66 76
5 15 36 46 56 76
5 15 46 56 66 76
5 16 18 29 40 51
5 16 18 29 40 75
5 16 18 29 51 64
5 16 18 29 64 75
5 16 18 40 51 62
5 16 18 40 62 75
5 16 18 51 62 64
5 16 18 62 64 75
5 16 29 40 51 75
5 16 29 51 64 75
5 16 40 51 62 75
5 16 51 62 64 75
5 17 20 32 44 47
5 17 20 32 44 74
5 17 20 32 47 71
5 17 20 32 71 74
5 17 20 44 47 59
5 17 20 44 59 74
5 17 20 47 59 71
5 17 20 59 71 74
5 17 32 44 47 74
5 17 32 47 71 74
5 17 44 47 59 74
5 17 47 59 71 74
5 18 29 40 51 64
5 18 29 40 64 75
5 18 40 51 62 64
